iter	Passed	Remaining
465	759	870
466	760	867
467	762	866
468	764	865
469	765	863
470	766	861
471	767	859
472	769	857
473	770	854
474	771	852
475	772	850
476	773	848
477	774	846
478	775	843
479	778	843
480	780	842
481	782	841
482	784	839
483	786	838
484	787	836
485	790	836
486	792	834
487	793	832
488	794	830
489	796	828
490	797	826
491	798	824
492	800	823
493	801	821
494	802	819
495	807	820
496	809	819
497	810	817
498	811	814
499	813	813
500	814	811
501	816	809
502	818	808
503	820	807
504	821	805
505	822	803
506	824	801
507	825	799
508	826	797
509	828	795
510	829	794
511	833	793
512	834	792
513	836	790
514	837	788
515	838	786
516	840	785
517	841	783
518	842	781
519	844	779
520	847	778
521	850	778
522	851	776
523	853	775
524	854	773
525	855	771
526	858	770
527	861	769
528	865	770
529	867	769
530	869	767
531	873	768
532	878	769
533	879	767
534	881	766
535	883	765
536	886	764
537	888	762
538	892	762
539	893	761
540	895	759
541	896	757
542	897	755
543	898	753
544	900	751
545	901	749
546	902	747
547	905	746
548	906	744
549	907	742
550	909	740
551	911	739
552	913	738
553	914	736
554	915	733
555	916	732
556	920	732
557	921	730
558	923	728
559	924	726
560	925	724
561	927	722
562	928	721
563	930	719
564	931	717
565	934	716
566	935	714
567	936	712
568	938	710
569	939	708
570	940	706
571	942	705
572	943	703
573	945	701
574	946	699
575	950	699
576	951	697
577	953	696
578	955	694
579	956	692
580	957	690
581	959	689
582	960	687
583	963	686
584	965	684
585	967	683
586	969	682
587	970	680
588	972	678
589	973	676
590	975	675
591	979	675
592	981	673
593	982	671
594	983	669
595	985	667
596	986	665
597	987	664
598	989	662
599	992	661
600	994	660
601	995	658
602	997	656
603	998	654
604	999	652
605	1001	651
606	1002	649
607	1003	647
608	1007	646
609	1010	645
610	1011	643
611	1012	642
612	1013	639
613	1014	637
614	1016	636
615	1017	634
616	1019	632
617	1022	632
618	1023	630
619	1025	628
620	1026	626
621	1027	624
622	1029	622
623	1030	620
624	1031	618
625	1032	616
626	1033	614
627	1037	614
628	1038	612
629	1039	610
630	1040	608
631	1042	606
632	1043	604
633	1044	602
634	1045	601
635	1047	599
636	1052	599
637	1053	597
638	1054	595
639	1056	594
640	1057	592
641	1059	590
642	1060	588
643	1061	586
644	1063	585
645	1067	585
646	1069	583
647	1070	581
648	1072	580
649	1074	578
650	1075	576
651	1076	574
652	1079	573
653	1080	571
654	1082	570
655	1083	568
656	1085	566
657	1086	564
658	1087	562
659	1088	560
660	1089	558
661	1090	556
662	1092	555
663	1093	553
664	1094	551
665	1095	549
666	1096	547
667	1097	545
668	1098	543
669	1100	541
670	1101	540
671	1102	538
672	1103	536
673	1107	535
674	1108	533
675	1109	531
676	1111	530
677	1112	528
678	1114	526
679	1115	524
680	1116	523
681	1118	521
682	1122	521
683	1123	519
684	1125	517
685	1126	515
686	1127	513
687	1128	511
688	1129	510
689	1131	508
690	1132	506
691	1135	505
692	1137	503
693	1139	502
694	1141	500
695	1143	499
696	1145	497
697	1146	496
698	1147	494
699	1150	492
700	1151	491
701	1152	489
702	1154	487
703	1155	485
704	1156	484
705	1158	482
706	1159	480
707	1160	478
708	1162	476
709	1165	475
710	1166	474
711	1167	472
712	1168	470
713	1170	468
714	1171	467
715	1172	465
716	1174	463
717	1175	461
718	1179	461
719	1181	459
720	1182	457
721	1184	456
722	1193	457
723	1195	455
724	1197	454
725	1198	452
726	1200	450
727	1201	448
728	1202	447
729	1204	445
730	1205	443
731	1207	441
732	1208	440
733	1209	438
734	1211	436
735	1211	434
736	1212	432
737	1214	431
738	1216	429
739	1219	428
740	1221	426
741	1223	425
742	1224	423
743	1225	421
744	1227	420
745	1228	418
746	1229	416
747	1230	414
748	1232	413
749	1233	411
750	1235	409
751	1236	407
752	1237	406
753	1239	404
754	1240	402
755	1242	400
756	1245	399
757	1247	398
758	1248	396
759	1250	394
760	1251	393
761	1253	391
762	1256	390
763	1261	389
764	1264	388
765	1266	386
766	1269	385
767	1270	383
768	1274	382
769	1276	381
770	1277	379
771	1278	377
772	1279	375
773	1281	374
774	1282	372
775	1283	370
776	1286	369
777	1288	367
778	1289	365
779	1290	364
780	1292	362
781	1293	360
782	1294	358
783	1298	357
784	1303	356
785	1305	355
786	1308	354
787	1310	352
788	1311	350
789	1313	349
790	1317	348
791	1320	346
792	1321	345
793	1323	343
794	1325	341
795	1326	339
796	1328	338
797	1329	336
798	1331	334
799	1333	333
800	1335	331
801	1337	330
802	1340	328
803	1344	327
804	1346	326
805	1348	324
806	1350	322
807	1353	321
808	1354	319
809	1356	318
810	1358	316
811	1361	315
812	1363	313
813	1365	312
814	1367	310
815	1371	309
816	1373	307
817	1374	305
818	1376	304
819	1378	302
820	1380	300
821	1381	299
822	1382	297
823	1383	295
824	1387	294
825	1389	292
826	1391	290
827	1392	289
828	1393	287
829	1395	285
830	1396	283
831	1399	282
832	1401	280
833	1402	279
834	1404	277
835	1405	275
836	1406	273
837	1407	272
838	1410	270
839	1412	269
840	1414	267
841	1417	265
842	1421	264
843	1422	262
844	1423	261
845	1424	259
846	1425	257
847	1426	255
848	1427	253
849	1428	252
850	1429	250
851	1430	248
852	1431	246
853	1432	244
854	1435	243
855	1436	241
856	1437	239
857	1438	238
858	1439	236
859	1441	234
860	1443	232
861	1444	231
862	1445	229
863	1448	227
864	1450	226
865	1452	224
866	1453	223
867	1455	221
868	1456	219
869	1458	217
870	1459	216
871	1461	214
872	1463	212
873	1464	211
874	1466	209
875	1467	207
876	1468	206
877	1470	204
878	1471	202
879	1472	200
880	1473	199
881	1476	197
882	1477	195
883	1478	194
884	1479	192
885	1480	190
886	1482	188
887	1483	187
888	1484	185
889	1485	183
890	1486	181
891	1488	180
892	1490	178
893	1491	176
894	1493	175
895	1494	173
896	1495	171
897	1497	170
898	1498	168
899	1499	166
900	1501	164
901	1502	163
